,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
2338,Stephen Chow,Yuqi Zhang,Comedy Family Sci-Fi,Jiao Xu,CJ7,Chi Chung Lam,Stephen Chow Yuqi Zhang Comedy Family Sci-Fi Jiao Xu Chi Chung Lam
2339,Jean-Marie Poiré,Philippe Nahon,Comedy Family Fantasy Sci-Fi,Christian Clavier,Les couloirs du temps: Les visiteurs II,Marie-Anne Chazel,Jean-Marie Poiré Philippe Nahon Comedy Family Fantasy Sci-Fi Christian Clavier Marie-Anne Chazel
2340,Kevin Munroe,Laura Spencer,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,Marco St. John,Dylan Dog: Dead of Night,Anita Briem,Kevin Munroe Laura Spencer Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller Marco St. John Anita Briem
2341,Daniel Algrant,Richard Schiff,Crime Drama Mystery,Al Pacino,People I Know,Mark Webber,Daniel Algrant Richard Schiff Crime Drama Mystery Al Pacino Mark Webber
2343,Julie Taymor,Reeve Carney,Comedy Drama Fantasy Romance,Djimon Hounsou,The Tempest,Tom Conti,Julie Taymor Reeve Carney Comedy Drama Fantasy Romance Djimon Hounsou Tom Conti
2344,Alejandro Amenábar,Aaron Ashmore,Crime Drama Mystery Thriller,Emma Watson,Regression,Julian Richings,Alejandro Amenábar Aaron Ashmore Crime Drama Mystery Thriller Emma Watson Julian Richings
2345,Jane Clark,Traci Dinwiddie,Romance Short,Necar Zadegan,The Touch,Elea Oberon,Jane Clark Traci Dinwiddie Romance Short Necar Zadegan Elea Oberon
2346,Daniel Lee,Sammo Kam-Bo Hung,Action Drama History War,Andy Lau,Three Kingdoms: Resurrection of the Dragon,Andy On,Daniel Lee Sammo Kam-Bo Hung Action Drama History War Andy Lau Andy On
2347,Mike Barker,Nicholas Lea,Crime Drama Thriller,Gerard Butler,Shattered,Callum Rennie,Mike Barker Nicholas Lea Crime Drama Thriller Gerard Butler Callum Rennie
2348,Wayne Thornley,Phil LaMarr,Adventure Animation Comedy Family,Leonard Nimoy,Zambezia,Noureen DeWulf,Wayne Thornley Phil LaMarr Adventure Animation Comedy Family Leonard Nimoy Noureen DeWulf
2349,Gnana Rajasekaran,Michael Lieber,Biography Drama History,Mani Bharathi,Ramanujan,Kevin McGowan,Gnana Rajasekaran Michael Lieber Biography Drama History Mani Bharathi Kevin McGowan
2350,Tom Walsh,Maggie Wheeler,Animation,Joey D. Vieira,Dwegons and Leprechauns,Jacqueline Lovell,Tom Walsh Maggie Wheeler Animation Joey D. Vieira Jacqueline Lovell
2351,Jonathan Jakubowicz,Jurnee Smollett-Bell,Action Biography Drama Sport,Robert De Niro,Hands of Stone,Edgar Ramírez,Jonathan Jakubowicz Jurnee Smollett-Bell Action Biography Drama Sport Robert De Niro Edgar Ramírez
2352,James McTeigue,Roger Rees,Action Crime Thriller,Milla Jovovich,Survivor,Robert Forster,James McTeigue Roger Rees Action Crime Thriller Milla Jovovich Robert Forster
2353,Scott Walker,Radha Mitchell,Crime Drama Mystery Thriller,Nicolas Cage,The Frozen Ground,Jodi Lyn O'Keefe,Scott Walker Radha Mitchell Crime Drama Mystery Thriller Nicolas Cage Jodi Lyn O'Keefe
2354,John Curran,Sally Hawkins,Drama Romance,Toby Jones,The Painted Veil,Alan David,John Curran Sally Hawkins Drama Romance Toby Jones Alan David
2355,Uli Edel,Alexandra Maria Lara,Action Biography Crime Drama,Moritz Bleibtreu,The Baader Meinhof Complex,Martina Gedeck,Uli Edel Alexandra Maria Lara Action Biography Crime Drama Moritz Bleibtreu Martina Gedeck
2356,Kevin Costner,Michael Spears,Adventure Drama Western,Mary McDonnell,Dances with Wolves,Maury Chaykin,Kevin Costner Michael Spears Adventure Drama Western Mary McDonnell Maury Chaykin
2357,Jake Kasdan,John Michael Higgins,Comedy,Justin Timberlake,Bad Teacher,Phyllis Smith,Jake Kasdan John Michael Higgins Comedy Justin Timberlake Phyllis Smith
2358,Harold Becker,Michael O'Neill,Crime Drama Mystery Thriller,Al Pacino,Sea of Love,Ellen Barkin,Harold Becker Michael O'Neill Crime Drama Mystery Thriller Al Pacino Ellen Barkin
2359,Mark Rosman,Lin Shaye,Comedy Family Romance,Dan Byrd,A Cinderella Story,Julie Gonzalo,Mark Rosman Lin Shaye Comedy Family Romance Dan Byrd Julie Gonzalo
2360,Wes Craven,W. Earl Brown,Horror Mystery,David Arquette,Scream,Roger Jackson,Wes Craven W. Earl Brown Horror Mystery David Arquette Roger Jackson
2361,Steve Beck,Embeth Davidtz,Horror,Shannon Elizabeth,Thir13en Ghosts,F. Murray Abraham,Steve Beck Embeth Davidtz Horror Shannon Elizabeth F. Murray Abraham
2362,Stanley Kubrick,Shelley Duvall,Drama Horror,Scatman Crothers,The Shining,Joe Turkel,Stanley Kubrick Shelley Duvall Drama Horror Scatman Crothers Joe Turkel
2363,Robert Zemeckis,Thomas F. Wilson,Adventure Comedy Sci-Fi,Lea Thompson,Back to the Future,J.J. Cohen,Robert Zemeckis Thomas F. Wilson Adventure Comedy Sci-Fi Lea Thompson J.J. Cohen
2364,William Malone,Peter Gallagher,Horror Mystery Thriller,Jeffrey Combs,House on Haunted Hill,Bridgette Wilson-Sampras,William Malone Peter Gallagher Horror Mystery Thriller Jeffrey Combs Bridgette Wilson-Sampras
2365,Tyler Perry,Mary J. Blige,Comedy Drama,Eric Mendenhall,I Can Do Bad All by Myself,Hope Olaide Wilson,Tyler Perry Mary J. Blige Comedy Drama Eric Mendenhall Hope Olaide Wilson
2366,Rob Hawk,Erin O'Brien,Action Drama,Kari J. Kramer,Fight Valley,Cabrina Collesides,Rob Hawk Erin O'Brien Action Drama Kari J. Kramer Cabrina Collesides
2367,Josh Gordon,Scott Elrod,Comedy Drama Romance,Caroline Dhavernas,The Switch,Kelli Barrett,Josh Gordon Scott Elrod Comedy Drama Romance Caroline Dhavernas Kelli Barrett
2368,Shawn Levy,David Agranov,Comedy Romance,Taran Killam,Just Married,David Moscow,Shawn Levy David Agranov Comedy Romance Taran Killam David Moscow
2369,Lee Tamahori,Dominic Cooper,Biography Drama Thriller,Mem Ferda,The Devil's Double,Ludivine Sagnier,Lee Tamahori Dominic Cooper Biography Drama Thriller Mem Ferda Ludivine Sagnier
2371,Britt Allcroft,Colm Feore,Adventure Comedy Drama Family Fantasy,Mara Wilson,Thomas and the Magic Railroad,Peter Fonda,Britt Allcroft Colm Feore Adventure Comedy Drama Family Fantasy Mara Wilson Peter Fonda
2372,Breck Eisner,Glenn Morshower,Horror Thriller,Radha Mitchell,The Crazies,John Aylward,Breck Eisner Glenn Morshower Horror Thriller Radha Mitchell John Aylward
2373,Hayao Miyazaki,Ryûnosuke Kamiki,Adventure Animation Family Fantasy,Bunta Sugawara,Spirited Away,Miyu Irino,Hayao Miyazaki Ryûnosuke Kamiki Adventure Animation Family Fantasy Bunta Sugawara Miyu Irino
2374,Alan Yuen,Michael Wong,Action Crime Thriller,Andy Lau,Firestorm,Terence Yin,Alan Yuen Michael Wong Action Crime Thriller Andy Lau Terence Yin
2375,Roger Donaldson,Anthony Hopkins,Action Adventure Drama History Romance,Liam Neeson,The Bounty,Laurence Olivier,Roger Donaldson Anthony Hopkins Action Adventure Drama History Romance Liam Neeson Laurence Olivier
2376,Brian Percival,Sophie Nélisse,Drama War,Emily Watson,The Book Thief,Roger Allam,Brian Percival Sophie Nélisse Drama War Emily Watson Roger Allam
2377,Sean Anders,Michael Cudlitz,Adventure Comedy Romance,Katrina Bowden,Sex Drive,Alice Greczyn,Sean Anders Michael Cudlitz Adventure Comedy Romance Katrina Bowden Alice Greczyn
2378,Anand Tucker,Kaitlin Olson,Comedy Romance,Adam Scott,Leap Year,Dominique McElligott,Anand Tucker Kaitlin Olson Comedy Romance Adam Scott Dominique McElligott
2379,Anthony Mann,Mel Ferrer,Drama History War,James Mason,The Fall of the Roman Empire,Stephen Boyd,Anthony Mann Mel Ferrer Drama History War James Mason Stephen Boyd
2380,Michael Dowse,Michael Biehn,Comedy Drama Romance,Topher Grace,Take Me Home Tonight,Dan Fogler,Michael Dowse Michael Biehn Comedy Drama Romance Topher Grace Dan Fogler
2381,Daniel Barnz,Rosie Perez,Drama,Holly Hunter,Won't Back Down,Dante Brown,Daniel Barnz Rosie Perez Drama Holly Hunter Dante Brown
2382,Emile Ardolino,Kyra Nichols,Family Fantasy Music,Darci Kistler,The Nutcracker,Margaret Tracey,Emile Ardolino Kyra Nichols Family Fantasy Music Darci Kistler Margaret Tracey
2383,Robert Altman,Jennifer Jason Leigh,Crime Drama Music Thriller,Steve Buscemi,Kansas City,Miranda Richardson,Robert Altman Jennifer Jason Leigh Crime Drama Music Thriller Steve Buscemi Miranda Richardson
2384,James Schamus,Sarah Gadon,Drama,Logan Lerman,Indignation,Tracy Letts,James Schamus Sarah Gadon Drama Logan Lerman Tracy Letts
2385,Andrew Douglas,Chloë Grace Moretz,Drama Horror Mystery Thriller,Jimmy Bennett,The Amityville Horror,Ryan Reynolds,Andrew Douglas Chloë Grace Moretz Drama Horror Mystery Thriller Jimmy Bennett Ryan Reynolds
2386,Spike Jonze,Meryl Streep,Comedy Drama,Nicolas Cage,Adaptation.,Roger Willie,Spike Jonze Meryl Streep Comedy Drama Nicolas Cage Roger Willie
2387,George A. Romero,Shawn Roberts,Horror,Tony Nappo,Land of the Dead,Pedro Miguel Arce,George A. Romero Shawn Roberts Horror Tony Nappo Pedro Miguel Arce
2388,Danny Pang,Angelica Lee,Action,Louis Koo,Out of Inferno,Ching Wan Lau,Danny Pang Angelica Lee Action Louis Koo Ching Wan Lau
2389,Terry Gilliam,Michael Jeter,Adventure Comedy Drama,Johnny Depp,Fear and Loathing in Las Vegas,Ellen Barkin,Terry Gilliam Michael Jeter Adventure Comedy Drama Johnny Depp Ellen Barkin
2390,Ricky Gervais,Tina Fey,Comedy Fantasy Romance,Jennifer Garner,The Invention of Lying,Martin Starr,Ricky Gervais Tina Fey Comedy Fantasy Romance Jennifer Garner Martin Starr
2391,Nicholas Stoller,Carla Gallo,Comedy,Craig Roberts,Neighbors,Ike Barinholtz,Nicholas Stoller Carla Gallo Comedy Craig Roberts Ike Barinholtz
2392,Chuck Russell,Amy Yasbeck,Action Comedy Crime Fantasy,Peter Greene,The Mask,Reg E. Cathey,Chuck Russell Amy Yasbeck Action Comedy Crime Fantasy Peter Greene Reg E. Cathey
2393,Penny Marshall,Jon Lovitz,Comedy Drama Family Fantasy Romance,Tom Hanks,Big,John Heard,Penny Marshall Jon Lovitz Comedy Drama Family Fantasy Romance Tom Hanks John Heard
2394,Larry Charles,Ken Davitian,Comedy,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Chester,Larry Charles Ken Davitian Comedy Luenell Chester
2395,Robert Luketic,Raquel Welch,Comedy Romance,Linda Cardellini,Legally Blonde,Alanna Ubach,Robert Luketic Raquel Welch Comedy Romance Linda Cardellini Alanna Ubach
2396,Leonard Nimoy,Nichelle Nichols,Action Adventure Sci-Fi,Leonard Nimoy,Star Trek III: The Search for Spock,Walter Koenig,Leonard Nimoy Nichelle Nichols Action Adventure Sci-Fi Leonard Nimoy Walter Koenig
2397,Scott Derrickson,Colm Feore,Drama Horror Thriller,Tom Wilkinson,The Exorcism of Emily Rose,JR Bourne,Scott Derrickson Colm Feore Drama Horror Thriller Tom Wilkinson JR Bourne
2398,Mike Mitchell,Eddie Griffin,Comedy Romance,Amy Poehler,Deuce Bigalow: Male Gigolo,Bree Turner,Mike Mitchell Eddie Griffin Comedy Romance Amy Poehler Bree Turner
2399,Vic Armstrong,Lea Thompson,Action Drama Fantasy Mystery Thriller,Nicolas Cage,Left Behind,Quinton Aaron,Vic Armstrong Lea Thompson Action Drama Fantasy Mystery Thriller Nicolas Cage Quinton Aaron
2400,Thomas Bezucha,Paul Schneider,Comedy Drama Romance,Craig T. Nelson,The Family Stone,Tyrone Giordano,Thomas Bezucha Paul Schneider Comedy Drama Romance Craig T. Nelson Tyrone Giordano
2401,Kevin Rodney Sullivan,Sean Patrick Thomas,Comedy Drama,Harry Lennix,Barbershop 2: Back in Business,Kenan Thompson,Kevin Rodney Sullivan Sean Patrick Thomas Comedy Drama Harry Lennix Kenan Thompson
2402,Terry Zwigoff,Tony Cox,Comedy Crime Drama,Bernie Mac,Bad Santa,Alex Borstein,Terry Zwigoff Tony Cox Comedy Crime Drama Bernie Mac Alex Borstein
2403,Jay Roach,Charles Napier,Comedy Crime,Will Ferrell,Austin Powers: International Man of Mystery,Robert Wagner,Jay Roach Charles Napier Comedy Crime Will Ferrell Robert Wagner
2404,Kirk Jones,Louis Mandylor,Comedy Family Romance,Nia Vardalos,My Big Fat Greek Wedding 2,Joey Fatone,Kirk Jones Louis Mandylor Comedy Family Romance Nia Vardalos Joey Fatone
2405,David Bowers,Rachael Harris,Comedy Family,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules,Fran Kranz,David Bowers Rachael Harris Comedy Family Zachary Gordon Fran Kranz
2406,John McTiernan,Bill Duke,Action Horror Sci-Fi,Shane Black,Predator,Carl Weathers,John McTiernan Bill Duke Action Horror Sci-Fi Shane Black Carl Weathers
2407,Milos Forman,F. Murray Abraham,Biography Drama History Music,Jeffrey Jones,Amadeus,Tom Hulce,Milos Forman F. Murray Abraham Biography Drama History Music Jeffrey Jones Tom Hulce
2408,Nelson McCormick,Scott Porter,Horror Mystery,Ming-Na Wen,Prom Night,Collins Pennie,Nelson McCormick Scott Porter Horror Mystery Ming-Na Wen Collins Pennie
2409,Mark Waters,Amy Poehler,Comedy,Tina Fey,Mean Girls,Neil Flynn,Mark Waters Amy Poehler Comedy Tina Fey Neil Flynn
2410,Audrey Wells,Lindsay Duncan,Comedy Drama Romance,Raoul Bova,Under the Tuscan Sun,Mario Monicelli,Audrey Wells Lindsay Duncan Comedy Drama Romance Raoul Bova Mario Monicelli
2411,Robert Altman,Bob Balaban,Drama Mystery,Kristin Scott Thomas,Gosford Park,Tom Hollander,Robert Altman Bob Balaban Drama Mystery Kristin Scott Thomas Tom Hollander
2413,Francis Ford Coppola,Kathleen Turner,Comedy Drama Fantasy Romance,Nicolas Cage,Peggy Sue Got Married,Joan Allen,Francis Ford Coppola Kathleen Turner Comedy Drama Fantasy Romance Nicolas Cage Joan Allen
2414,Alejandro G. Iñárritu,Naomi Watts,Comedy Drama Romance,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance),Merritt Wever,Alejandro G. Iñárritu Naomi Watts Comedy Drama Romance Emma Stone Merritt Wever
2415,Woody Allen,Charlie Tahan,Drama,Sally Hawkins,Blue Jasmine,Andrew Dice Clay,Woody Allen Charlie Tahan Drama Sally Hawkins Andrew Dice Clay
2416,Paul Greengrass,David Alan Basche,Drama History Thriller,Christian Clemenson,United 93,Susan Blommaert,Paul Greengrass David Alan Basche Drama History Thriller Christian Clemenson Susan Blommaert
2417,Bille Woodruff,Mekhi Phifer,Drama Music Romance,Christian Monzon,Honey,Romeo Miller,Bille Woodruff Mekhi Phifer Drama Music Romance Christian Monzon Romeo Miller
2418,Edward Zwick,Morgan Freeman,Drama History War,Denzel Washington,Glory,Matthew Broderick,Edward Zwick Morgan Freeman Drama History War Denzel Washington Matthew Broderick
2419,Rick Friedberg,Barry Bostwick,Action Comedy,Hulk Hogan,Spy Hard,Nicollette Sheridan,Rick Friedberg Barry Bostwick Action Comedy Hulk Hogan Nicollette Sheridan
2420,John Carpenter,Hal Holbrook,Fantasy Horror,Jamie Lee Curtis,The Fog,Janet Leigh,John Carpenter Hal Holbrook Fantasy Horror Jamie Lee Curtis Janet Leigh
2421,Sean McNamara,Chris Brochu,Biography Drama Family Sport,Dennis Quaid,Soul Surfer,Craig T. Nelson,Sean McNamara Chris Brochu Biography Drama Family Sport Dennis Quaid Craig T. Nelson
2422,Mike Nichols,Bob Balaban,Comedy Drama War,Bob Newhart,Catch-22,Martin Balsam,Mike Nichols Bob Balaban Comedy Drama War Bob Newhart Martin Balsam
2423,Jody Hill,Celia Weston,Comedy Crime Drama,Collette Wolfe,Observe and Report,Dan Bakkedahl,Jody Hill Celia Weston Comedy Crime Drama Collette Wolfe Dan Bakkedahl
2424,Richard Fleischer,Olivia d'Abo,Action Adventure Fantasy,Mako,Conan the Destroyer,Grace Jones,Richard Fleischer Olivia d'Abo Action Adventure Fantasy Mako Grace Jones
2425,Martin Scorsese,Cathy Moriarty,Biography Drama Sport,Robert De Niro,Raging Bull,Frank Vincent,Martin Scorsese Cathy Moriarty Biography Drama Sport Robert De Niro Frank Vincent
2426,Brandon Camp,Sasha Alexander,Drama Romance,Judy Greer,Love Happens,Frances Conroy,Brandon Camp Sasha Alexander Drama Romance Judy Greer Frances Conroy
2427,Barry Levinson,Roger Ashton-Griffiths,Adventure Fantasy Mystery Thriller,Nicholas Rowe,Young Sherlock Holmes,Freddie Jones,Barry Levinson Roger Ashton-Griffiths Adventure Fantasy Mystery Thriller Nicholas Rowe Freddie Jones
2428,Kevin Tancharoen,Kay Panabaker,Comedy Drama Musical Romance,Kelsey Grammer,Fame,Megan Mullally,Kevin Tancharoen Kay Panabaker Comedy Drama Musical Romance Kelsey Grammer Megan Mullally
2429,Danny Boyle,Treat Williams,Adventure Biography Drama Thriller,James Franco,127 Hours,Kate Burton,Danny Boyle Treat Williams Adventure Biography Drama Thriller James Franco Kate Burton
2430,Woody Allen,Jon Lovitz,Comedy Crime,Woody Allen,Small Time Crooks,Michael Rapaport,Woody Allen Jon Lovitz Comedy Crime Woody Allen Michael Rapaport
2431,Nicholas Hytner,Susan May Pratt,Drama Music Romance,Amanda Schull,Center Stage,Ethan Stiefel,Nicholas Hytner Susan May Pratt Drama Music Romance Amanda Schull Ethan Stiefel
2432,Jessie Nelson,Alex Borstein,Comedy,Olivia Wilde,Love the Coopers,Timothée Chalamet,Jessie Nelson Alex Borstein Comedy Olivia Wilde Timothée Chalamet
2433,Bart Freundlich,Corbin Bleu,Comedy Crime,Kristen Stewart,Catch That Kid,Kevin G. Schmidt,Bart Freundlich Corbin Bleu Comedy Crime Kristen Stewart Kevin G. Schmidt
2434,Irwin Winkler,Hayden Christensen,Drama,Ian Somerhalder,Life as a House,Kristin Scott Thomas,Irwin Winkler Hayden Christensen Drama Ian Somerhalder Kristin Scott Thomas
2435,Danny Boyle,Michael Fassbender,Biography Drama,Kate Winslet,Steve Jobs,Michael Stuhlbarg,Danny Boyle Michael Fassbender Biography Drama Kate Winslet Michael Stuhlbarg
2436,Chris Columbus,Marie Avgeropoulos,Comedy Romance,Alan Ruck,"I Love You, Beth Cooper",Shawn Roberts,Chris Columbus Marie Avgeropoulos Comedy Romance Alan Ruck Shawn Roberts
2437,Miguel Arteta,Ari Graynor,Comedy Drama Romance,Steve Buscemi,Youth in Revolt,Fred Willard,Miguel Arteta Ari Graynor Comedy Drama Romance Steve Buscemi Fred Willard
2438,William A. Fraker,Richard Farnsworth,Action Adventure Western,Jason Robards,The Legend of the Lone Ranger,Michael Horse,William A. Fraker Richard Farnsworth Action Adventure Western Jason Robards Michael Horse
2439,John Boorman,Jamie Lee Curtis,Drama Thriller,Daniel Radcliffe,The Tailor of Panama,Mark Margolis,John Boorman Jamie Lee Curtis Drama Thriller Daniel Radcliffe Mark Margolis
2440,Brian De Palma,Dennis Franz,Mystery Thriller,Nancy Allen,Blow Out,John McMartin,Brian De Palma Dennis Franz Mystery Thriller Nancy Allen John McMartin
2441,Courtney Solomon,Paul Freeman,Action Crime Thriller,Rebecca Budig,Getaway,Bruce Payne,Courtney Solomon Paul Freeman Action Crime Thriller Rebecca Budig Bruce Payne
2442,Ang Lee,Kate Burton,Drama,Joan Allen,The Ice Storm,Henry Czerny,Ang Lee Kate Burton Drama Joan Allen Henry Czerny
2443,Rob Reiner,Annie Parisse,Comedy Drama Romance,Yaya DaCosta,And So It Goes,Frankie Valli,Rob Reiner Annie Parisse Comedy Drama Romance Yaya DaCosta Frankie Valli
2444,Jeff Kanew,Shelley Long,Adventure Comedy,Craig T. Nelson,Troop Beverly Hills,Kellie Martin,Jeff Kanew Shelley Long Adventure Comedy Craig T. Nelson Kellie Martin
2445,István Szabó,Shaun Evans,Comedy Drama Romance,Miriam Margolyes,Being Julia,Juliet Stevenson,István Szabó Shaun Evans Comedy Drama Romance Miriam Margolyes Juliet Stevenson
2446,Adrian Lyne,Karen Young,Drama Romance,David Margulies,9½ Weeks,Kim Chan,Adrian Lyne Karen Young Drama Romance David Margulies Kim Chan
2447,Matthew Robbins,Ralph Richardson,Action Adventure Fantasy,Ian McDiarmid,Dragonslayer,Albert Salmi,Matthew Robbins Ralph Richardson Action Adventure Fantasy Ian McDiarmid Albert Salmi
2448,Michael Hoffman,Kerry Condon,Biography Drama Romance,David Masterson,The Last Station,Anne-Marie Duff,Michael Hoffman Kerry Condon Biography Drama Romance David Masterson Anne-Marie Duff
2449,Tim Burton,Bill Murray,Biography Comedy Drama,Johnny Depp,Ed Wood,Martin Landau,Tim Burton Bill Murray Biography Comedy Drama Johnny Depp Martin Landau
2450,Jason Reitman,Kate Winslet,Drama,J.K. Simmons,Labor Day,Brooke Smith,Jason Reitman Kate Winslet Drama J.K. Simmons Brooke Smith
2451,Sergey Bodrov,Khulan Chuluun,Adventure Biography Drama History War,Tadanobu Asano,Mongol: The Rise of Genghis Khan,Honglei Sun,Sergey Bodrov Khulan Chuluun Adventure Biography Drama History War Tadanobu Asano Honglei Sun
2452,Guy Ritchie,Gerard Butler,Action Crime Thriller,Tom Hardy,RocknRolla,Tom Wilkinson,Guy Ritchie Gerard Butler Action Crime Thriller Tom Hardy Tom Wilkinson
2453,Hal Needham,Michael Beck,Action Sci-Fi,Barry Bostwick,Megaforce,Henry Silva,Hal Needham Michael Beck Action Sci-Fi Barry Bostwick Henry Silva
2454,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,Hamlet,Richard Briers,Kenneth Branagh Brian Blessed Drama Julie Christie Richard Briers
2455,Bruce Beresford,Suzie Steen,Biography Drama Music Romance,Bruce Greenwood,Mao's Last Dancer,Aden Young,Bruce Beresford Suzie Steen Biography Drama Music Romance Bruce Greenwood Aden Young
2456,Jeff Nichols,Sam Shepard,Adventure Drama Sci-Fi Thriller,Kirsten Dunst,Midnight Special,Paul Sparks,Jeff Nichols Sam Shepard Adventure Drama Sci-Fi Thriller Kirsten Dunst Paul Sparks
2457,Woody Allen,Stockard Channing,Comedy Romance,Woody Allen,Anything Else,Fisher Stevens,Woody Allen Stockard Channing Comedy Romance Woody Allen Fisher Stevens
2458,Jonathan Teplitzky,Colin Firth,Biography Drama Romance War,Jeremy Irvine,The Railway Man,Sam Reid,Jonathan Teplitzky Colin Firth Biography Drama Romance War Jeremy Irvine Sam Reid
2460,Michael Haneke,Burghart Klaußner,Drama Mystery,Ulrich Tukur,The White Ribbon,Leonie Benesch,Michael Haneke Burghart Klaußner Drama Mystery Ulrich Tukur Leonie Benesch
2461,Zack Ward,Anna Harr,Horror,Zack Ward,Restoration,James Cullen Bressack,Zack Ward Anna Harr Horror Zack Ward James Cullen Bressack
2462,Mike Marvin,Randy Quaid,Action Horror Romance Sci-Fi Thriller,Clint Howard,The Wraith,Nick Cassavetes,Mike Marvin Randy Quaid Action Horror Romance Sci-Fi Thriller Clint Howard Nick Cassavetes
2463,D.J. Caruso,Meat Loaf,Crime Drama Mystery Thriller,Adam Goldberg,The Salton Sea,Anthony LaPaglia,D.J. Caruso Meat Loaf Crime Drama Mystery Thriller Adam Goldberg Anthony LaPaglia
2464,Nimród Antal,Mackenzie Gray,Music,James Hetfield,Metallica Through the Never,Lars Ulrich,Nimród Antal Mackenzie Gray Music James Hetfield Lars Ulrich
2465,Gregor Jordan,Brad Renfro,Crime Drama Thriller,Austin Nichols,The Informers,Lou Taylor Pucci,Gregor Jordan Brad Renfro Crime Drama Thriller Austin Nichols Lou Taylor Pucci
2467,Tran Anh Hung,Simón Andreu,Thriller,Takuya Kimura,I Come with the Rain,Shawn Yue,Tran Anh Hung Simón Andreu Thriller Takuya Kimura Shawn Yue
2468,Lance Hool,Joaquim de Almeida,Action Drama History Romance War Western,Tom Berenger,One Man's Hero,Mark Moses,Lance Hool Joaquim de Almeida Action Drama History Romance War Western Tom Berenger Mark Moses
2469,George A. Romero,John Amplas,Horror,Greg Nicotero,Day of the Dead,Joseph Pilato,George A. Romero John Amplas Horror Greg Nicotero Joseph Pilato
2470,Chuck Russell,Rebecca De Mornay,Action Crime Drama Thriller,Sam Trammell,I Am Wrath,Amanda Schull,Chuck Russell Rebecca De Mornay Action Crime Drama Thriller Sam Trammell Amanda Schull
2471,Christian Volckman,Catherine McCormack,Action Animation Sci-Fi Thriller,Romola Garai,Renaissance,Kevork Malikyan,Christian Volckman Catherine McCormack Action Animation Sci-Fi Thriller Romola Garai Kevork Malikyan
2472,Jon Cassar,Landon Liboiron,Drama Western,Demi Moore,Forsaken,Michael Wincott,Jon Cassar Landon Liboiron Drama Western Demi Moore Michael Wincott
2473,Richard Fleischer,Brigitte Nielsen,Action Adventure Fantasy,Ernie Reyes Jr.,Red Sonja,Sandahl Bergman,Richard Fleischer Brigitte Nielsen Action Adventure Fantasy Ernie Reyes Jr. Sandahl Bergman
2474,Rodrigo Cortés,Toby Jones,Drama Horror Mystery Thriller,Robert De Niro,Red Lights,Craig Roberts,Rodrigo Cortés Toby Jones Drama Horror Mystery Thriller Robert De Niro Craig Roberts
2475,Greg Mottola,Joe Lo Truglio,Comedy,Emma Stone,Superbad,Kevin Corrigan,Greg Mottola Joe Lo Truglio Comedy Emma Stone Kevin Corrigan
2476,Tyler Perry,Keshia Knight Pulliam,Comedy Crime Drama,Vanessa Ferlito,Madea Goes to Jail,Derek Luke,Tyler Perry Keshia Knight Pulliam Comedy Crime Drama Vanessa Ferlito Derek Luke
2477,David Hayter,Jennifer Hale,Action Horror,Jason Momoa,Wolves,Stephen McHattie,David Hayter Jennifer Hale Action Horror Jason Momoa Stephen McHattie
2478,Jon M. Chu,Mari Koda,Drama Music Musical Romance,Cassie Ventura,Step Up 2: The Streets,Luis Rosado,Jon M. Chu Mari Koda Drama Music Musical Romance Cassie Ventura Luis Rosado
2479,Cory Edwards,Chazz Palminteri,Action Animation Comedy Crime Family,Anne Hathaway,Hoodwinked!,Jim Belushi,Cory Edwards Chazz Palminteri Action Animation Comedy Crime Family Anne Hathaway Jim Belushi
2480,Terry George,Sophie Okonedo,Drama History War,Don Cheadle,Hotel Rwanda,Hakeem Kae-Kazim,Terry George Sophie Okonedo Drama History War Don Cheadle Hakeem Kae-Kazim
2481,Xavier Gens,Dougray Scott,Action Crime Drama Thriller,Henry Ian Cusick,Hitman,Ulrich Thomsen,Xavier Gens Dougray Scott Action Crime Drama Thriller Henry Ian Cusick Ulrich Thomsen
2482,Kasi Lemmons,Mary J. Blige,Drama Family Music Musical,Jennifer Hudson,Black Nativity,Vondie Curtis-Hall,Kasi Lemmons Mary J. Blige Drama Family Music Musical Jennifer Hudson Vondie Curtis-Hall
2483,Brian A Miller,50 Cent,Action Thriller,Bruce Willis,The Prince,Jessica Lowndes,Brian A Miller 50 Cent Action Thriller Bruce Willis Jessica Lowndes
2484,Matt Dillon,Shawn Andrews,Crime Drama Thriller,Kirk Fox,City of Ghosts,Rob Campbell,Matt Dillon Shawn Andrews Crime Drama Thriller Kirk Fox Rob Campbell
2485,Alejandro Amenábar,Elaine Cassidy,Fantasy Horror Thriller,Fionnula Flanagan,The Others,Eric Sykes,Alejandro Amenábar Elaine Cassidy Fantasy Horror Thriller Fionnula Flanagan Eric Sykes
2486,James Cameron,Carrie Henn,Action Adventure Sci-Fi,Michael Biehn,Aliens,Jenette Goldstein,James Cameron Carrie Henn Action Adventure Sci-Fi Michael Biehn Jenette Goldstein
